-- census: FTZ/DAZ off --
census a1_standard steady   : blocks 20000 | sub-out blocks 0 (0.0%) | sub-out samples 0 | DE blocks 0 (0.0%) | UE blocks 0 | min |x| 9.834766e-7
census a1_standard amp-decay: blocks 20000 | sub-out blocks 9523 (47.6%) | sub-out samples 2436470 | DE blocks 10458 (52.3%) | UE blocks 10468 | min |x| 1e-45
census a1_standard subnormal: blocks 20000 | sub-out blocks 0 (0.0%) | sub-out samples 0 | DE blocks 17088 (85.4%) | UE blocks 18221 | min |x| 1.2572855e-8
census a2_lite steady   : blocks 20000 | sub-out blocks 0 (0.0%) | sub-out samples 0 | DE blocks 0 (0.0%) | UE blocks 0 | min |x| 3.0517578e-5
census a2_lite amp-decay: blocks 20000 | sub-out blocks 9525 (47.6%) | sub-out samples 2437011 | DE blocks 10376 (51.9%) | UE blocks 10382 | min |x| 1e-45
census a2_lite subnormal: blocks 20000 | sub-out blocks 0 (0.0%) | sub-out samples 0 | DE blocks 15291 (76.5%) | UE blocks 15282 | min |x| 6.556511e-7
-- census: FTZ/DAZ on --
census-ftz a1_standard steady   : sub-out blocks 0 | sub-out samples 0 | DE blocks 0 | UE blocks 0 | min |x| 9.834766e-7
census-ftz a1_standard amp-decay: sub-out blocks 0 | sub-out samples 0 | DE blocks 0 | UE blocks 3893 | min |x| 1.179718e-38
census-ftz a1_standard subnormal: sub-out blocks 0 | sub-out samples 0 | DE blocks 0 | UE blocks 8859 | min |x| 1.2572855e-8
census-ftz a2_lite steady   : sub-out blocks 0 | sub-out samples 0 | DE blocks 0 | UE blocks 0 | min |x| 3.0517578e-5
census-ftz a2_lite amp-decay: sub-out blocks 0 | sub-out samples 0 | DE blocks 0 | UE blocks 3817 | min |x| 1.1772813e-38
census-ftz a2_lite subnormal: sub-out blocks 0 | sub-out samples 0 | DE blocks 0 | UE blocks 6079 | min |x| 6.556511e-7
native a1_standard steady    rep 1/5: p50 6.41% | p99 10.55% | p99.9 13.29% | max 52.42% | estimator 10.10% | quotable
native a1_standard steady    rep 2/5: p50 6.42% | p99 10.51% | p99.9 13.27% | max 16.33% | estimator 10.05% | quotable
native a1_standard steady    rep 3/5: p50 6.54% | p99 10.73% | p99.9 14.03% | max 22.17% | estimator 10.22% | quotable
native a1_standard steady    rep 4/5: p50 6.42% | p99 10.49% | p99.9 13.55% | max 16.22% | estimator 10.01% | quotable
native a1_standard steady    rep 5/5: p50 6.34% | p99 10.54% | p99.9 13.51% | max 17.35% | estimator 9.97% | quotable
native a1_standard amp-decay rep 1/5: p50 9.01% | p99 14.31% | p99.9 16.73% | max 24.60% | estimator 10.07% | CONTAMINATED
native a1_standard amp-decay rep 2/5: p50 9.23% | p99 14.55% | p99.9 16.72% | max 34.97% | estimator 10.23% | CONTAMINATED
native a1_standard amp-decay rep 3/5: p50 9.15% | p99 14.56% | p99.9 16.92% | max 19.22% | estimator 10.26% | CONTAMINATED
native a1_standard amp-decay rep 4/5: p50 9.43% | p99 14.80% | p99.9 17.03% | max 19.38% | estimator 10.37% | CONTAMINATED
native a1_standard amp-decay rep 5/5: p50 9.30% | p99 14.56% | p99.9 16.48% | max 20.90% | estimator 10.28% | CONTAMINATED
native a1_standard subnormal rep 1/5: p50 8.92% | p99 14.27% | p99.9 16.36% | max 25.86% | estimator 10.03% | CONTAMINATED
native a1_standard subnormal rep 2/5: p50 8.94% | p99 14.37% | p99.9 16.36% | max 19.86% | estimator 10.12% | CONTAMINATED
native a1_standard subnormal rep 3/5: p50 8.96% | p99 14.44% | p99.9 15.99% | max 19.20% | estimator 10.09% | CONTAMINATED
native a1_standard subnormal rep 4/5: p50 8.72% | p99 13.94% | p99.9 15.51% | max 28.38% | estimator 9.70% | CONTAMINATED
native a1_standard subnormal rep 5/5: p50 8.93% | p99 14.41% | p99.9 16.38% | max 22.71% | estimator 10.11% | CONTAMINATED
native a2_lite steady    rep 1/5: p50 2.04% | p99 6.00% | p99.9 7.60% | max 10.16% | estimator 5.67% | quotable
